Subject Line A;Subject Line B;Target
Join us for a free yoga class every Thursday morning,...;Join us for free yoga class every Thursday morning;A
Our town's food bank needs donations of non-perishable items, such...;Our town's food bank needs donations of non-perishable items;B
The community garden is seeking volunteers to help with planting...;The community garden seeks volunteers on first Saturday of each...;B
The local museum is offering free admission for all residents...;Every third Sunday of the month, free admission for all...;A
Our town's animal control department needs donations of pet supplies,...;Our town's animal control department needs donations of pet supplies;A
Join us for a free movie night at the community...;Join us for a free movie night;B
Join us for a beach cleanup this Saturday and help...;Join Us for a Beach Cleanup this Saturday;A
The local food bank is in need of canned goods,...;The Local Food Bank Needs Your Help;B
Our community garden needs volunteers to help with planting, weeding,...;Meet at the plot every Saturday morning for a fun...;A
The animal shelter is hosting an adoption fair next weekend...;Adoption Fair Next Weekend;B
Join us for a bike safety workshop this Sunday where...;Join Us for a Bike Safety Workshop;B
Free Knitting Circle: Join us at the library every Thursday...;Free Knitting Circle;A
Free Zumba Class: Get moving and grooving with our high-energy...;Free Zumba Class;B
Free Book Club Meeting: Discuss your favorite books with fellow...;Free Book Club Meeting;B
Free Language Exchange: Practice speaking a new language or help...;Free Language Exchange;B
Free Birdwatching Walk: Join us for a leisurely walk around...;Free Birdwatching Walk;A
Free Cooking Class: Learn how to prepare healthy meals on...;Learn how to prepare healthy meals on a budget;A
The town's annual Easter egg hunt is just around the...;The Town's Annual Easter Egg Hunt;B
"Get ready to rock out with our local band, ""Electric...";Get Ready to Rock Out with Electric Storm;A
The town's library is hosting an author reading series featuring...;The town's library is hosting an author reading series featuring...;B
Don't miss out on our annual summer concert series, kicking...;Don't Miss Our Summer Concert Series!;A
The town's animal shelter is in need of donations and...;The town's animal shelter is in need of donations and...;B
Join us for the annual fireworks display at City Park...;July 4th Fireworks Display at City Park;A
Join us this Friday at 10:00 AM for our free...;Join Us This Friday for Free Yoga Class;B
Calling all book lovers! Our summer reading program is just...;Summer Reading Program;A
Did you know that we have a makerspace with 3D...;Did You Know That We Have A Makerspace With 3D...;A
We're excited to announce the arrival of new e-books on...;We're Excited to Announce the Arrival of New E-books;A
Join us for a free movie night next Wednesday at...;Free Movie Night Featuring Classic Film 'E.T.';B
Are you looking for a great read? Our staff recommends...;Are you looking for a great read?;B
Want to learn a new language? Join our conversation club...;Want to Learn a New Language?;A
The town's summer concert series is back! Enjoy live music...;The town's summer concert series is back!;A
Our community garden needs volunteers for a workday this Saturday...;Our Community Garden Needs Volunteers This Saturday;B
Looking for a book club or discussion group? Join our...;Looking for a Book Club or Discussion Group;B
The town's annual farmers' market is happening every Sunday from...;The town's annual farmers' market is happening every Sunday from...;A
Want to get creative? Our art class for adults meets...;Want to get creative? Our art class for adults meets...;B
Looking to declutter your garage? Consider donating unwanted tools and...;Declutter Your Garage - Donate Unwanted Tools;B
My friend is raising money for her dance studio by...;Get in shape while supporting a good cause;B
The library is hosting a book sale next Saturday from...;The Library Book Sale Next Saturday;A
Need help with your yard work? Consider hiring one of...;Need Help With Your Yard Work;B
The animal shelter is in need of donations to support...;The animal shelter needs your help.;A
Join us for a free yoga class every Saturday morning...;Join us for free yoga class every Saturday morning at;B
The local animal shelter is hosting an adoption fair this...;Meet some furry friends at the local animal shelter adoption...;A
Calling all artists! Our town's annual art show is just...;Calling All Artists!;B
Get ready for some holiday fun at our Winter Wonderland...;Enjoy Hot Cocoa, Cookie Decorating, and More Festive Activities;B
The town's Parks & Recreation department is offering a series...;Free Outdoor Movie Nights;A
Join us for a yoga class on the rooftop of...;Join us for a yoga class on the rooftop of...;A
Calling all book lovers! Our local bookstore is hosting an...;Don't Miss Out!;A
Get ready to groove at our annual summer festival! Live...;Get Ready to Groove at Our Annual Summer Festival;A
Attention all gardeners! Our community center is hosting a free...;Attention All Gardeners!;A
Join us for a movie night under the stars in...;Join us for a movie night under the stars next...;B
Calling all foodies! Our local farmers market is now open...;Calling all foodies! Our local farmers market is now open...;B
Get moving at our weekly fitness class on Tuesdays! Join...;Get Moving at Our Weekly Fitness Class;A
Explore local history! Join us for a guided tour of...;Explore Local History;A
Get creative with clay! Our pottery class is now open...;Get Creative with Clay!;B
Calling all bookworms! The library is hosting an author reading...;Don't Miss Out!;A
Spring into fitness! Join our yoga class this Wednesday at...;Spring into Fitness!;B
Meet the makers! Our artisan market returns next weekend, showcasing...;Meet the Makers!;B
Take a culinary journey! Learn how to cook international dishes...;Take a Culinary Journey!;A
Get moving with music! Join us for a free outdoor...;Get Moving with Music this Friday at 7 PM!;B
The local animal shelter is hosting a fundraiser bake sale...;The local animal shelter is hosting a fundraiser bake sale...;A
Join us for a free yoga class at the park...;Join us for a free yoga class at the park...;A
Calling all book lovers! Our monthly book club will meet...;"""The Nightingale""";A
The community center is offering a series of cooking classes...;Learn New Recipes and Cooking Techniques;A
Get ready for the annual summer festival! We'll have live...;Get Ready for the Annual Summer Festival;B
Our local museum is hosting an exhibit on the history...;Don't Miss Our Town's History;A
Join us for a free yoga class on Thursdays at...;Free Yoga Class in the Park!;A
Calling all bookworms! Our library is hosting an author reading...;Meet local authors, get signed copies of their books;A
Get ready for a night out with friends! The comedy...;Get Ready for a Night Out with Friends!;A
Attention all artists! Our community center is hosting an art...;Attention All Artists!;A
Who's ready for some friendly competition? Join us for a...;Who's Ready for Some Friendly Competition?;B
The local museum is offering free admission to all students...;The local museum is offering free admission to all students...;B
Join us for a community clean-up event next Saturday at...;Join Us For Community Clean-Up Event Next Saturday;A
