Posts;Subject Line A;Subject Line B
"Join our book club for a discussion of ""The Great Gatsby"" next Wednesday evening at the library. All are welcome, no prior reading required!";No prior reading required;The Great Gatsby Discussion
The city's recreation department is offering free swimming lessons to kids this summer. Sign up now before spots fill up!;Free swimming lessons for kids;FREE Swimming Lessons for Kids This Summer
Join us for a free book exchange event on Saturday at 2 PM at the library! Bring your gently used books to swap with fellow readers.;Join us for a free book exchange event;Bring Your Gently Used Books
Looking for someone to help you move this weekend? Post an ad on our bulletin board and we'll try to match you up with a willing helper!;Looking for a Helper;Looking for a helper this weekend?
Our local community garden is looking for volunteers to help maintain their plots. Contact us if you're interested in getting your hands dirty and growing some fresh produce.;Fresh Produce Available;Get Your Hands Dirty and Grow Fresh Produce
Join the fun at our monthly trivia night! Meet new people, test your knowledge, and win prizes on Thursday at 7 PM at the pub.;Thursday at 7 PM at the pub;Join the Fun at Our Monthly Trivia Night!
Do you have a talent or skill that you'd like to share with others? Consider teaching a workshop or class through our community education program!;Share your expertise today;Do You Have a Talent or Skill to Share
Join us for a fun night of trivia and prizes at our community event this Friday! Sign up by Thursday to reserve your spot.;Join Us for Trivia and Prizes;Join us for a fun night of trivia and prizes
Our yoga class is back in session! Join us every Wednesday from 7-8:30 PM at the studio. All levels welcome!;Join us every Wednesday from 7-8:30 PM;Our yoga class is back in session
Get ready for summer with our free swimming lessons for kids ages 5-12. Register now and don't miss out on this splashing good time!;Register Now for Splashing Fun;Get Ready for Summer with Free Swimming Lessons for Kids
"Calling all book lovers! Our monthly book club meets next Tuesday to discuss ""The Great Gatsby"". Join us at the library from 6:30-8 PM.";Calling all book lovers;The Great Gatsby
Don't miss our annual charity golf tournament this Saturday! Sign up by Friday and help support a great cause.;Support a great cause;Don't Miss Our Annual Charity Golf Tournament This Saturday!
Learn how to play chess like a pro with our free workshop on April 15th. All skill levels welcome!;All skill levels welcome;Learn How to Play Chess Like a Pro
Want to learn a new language? Join our conversation group every Thursday evening at the library and practice your skills with fellow learners!;Practice your skills with fellow learners;Want to Learn a New Language?
Get ready for some friendly competition! Our annual trivia night is coming up on March 15th at the local pub. Teams of all sizes welcome - register online by March 10th to secure a spot!;Register for Trivia Night;Get Ready for Trivia Night
Looking for a creative outlet? Join our art class every Monday evening and explore your artistic side with guidance from an experienced instructor. All skill levels encouraged!;Discover Your Creativity;Join our art class every Monday evening
Calling all bookworms! Our monthly book club meets on the third Tuesday of each month at the bookstore to discuss the latest bestseller. New members always welcome - just show up ready to chat about books!;Book club meets on the third Tuesday;Calling All Bookworms!
Want to get outside and enjoy nature? Join our hiking group every Sunday morning for a leisurely stroll through the nearby trails. All skill levels and ages welcome!;All Skill Levels and Ages Welcome;Want to get outside and enjoy nature?
Join us for a morning yoga session on June 22nd at the town square! All levels welcome, and don't forget to bring your mat.;Join us for a morning yoga session;Join us for a morning yoga session on June
Get ready for a night of stargazing with our astronomy club this Friday at the observatory! Bring blankets and snacks, and enjoy some celestial views. Free admission.;Get ready for a night of stargazing;Get Ready for a Night of Stargazing
Our annual charity walk/run is happening on September 15th! Register by August 31st to participate in this fun event that supports local food banks.;Our Annual Charity Walk/Run Supports Local Food Banks;Annual Charity Walk/Run on September 15th!
Learn how to paint like a pro at our art class next Wednesday! Sign up by Monday to reserve your spot, and get creative with us. c;Learn how to paint like a pro;Learn How to Paint Like a Pro
Join us for a free movie night on July 27th at the park!;Free movie night at the park;Join us for a free movie night
Join us for a free yoga class on the beach this Saturday! Local instructor Sarah will guide you through a relaxing morning routine while taking in the stunning views.;Join us for a free yoga class on the beach...;Join us for a free yoga class on the beach...
Calling all foodies! Our local farmers market is hosting a cooking competition next weekend, and we're looking for talented chefs to participate. Sign up by June 10th!;Sign up by June 10th;Cooking Competition at Local Farmers Market
Get ready to groove with us at our annual summer festival on July 4th! Enjoy live music, delicious eats, and fun activities for the whole family.;Fun activities for the whole family;Get Ready to Groove with Us
